id,buName,dpId,dpName,profitCenter
360,"US Government",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",4001
361,"Enterprise SD - BYOD",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2539
362,"US Government",3055,"CHINA TELECOM SATELLITE CO. LTD.",4020
363,"Enterprise SD - AgriTech",9101,"CONNECT ACCREDITATION PROGRAMME",2536
364,"Enterprise SD - NGO",3036,"AND GROUP PLC",2534
365,"Enterprise SD - Other business",99999997,"DP END USER",2541
366,"Enterprise SD - FinTech",3036,"AND GROUP PLC",2538
367,"Enterprise SD - BYOD",3036,"AND GROUP PLC",2539
368,"Enterprise SD - NGO",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2534
369,"Enterprise SD - AgriTech",99999997,"DP END USER",2536
370,"Enterprise SD - Other business",3036,"AND GROUP PLC",2541
371,"Enterprise SD - Mining / Construction",3032,"AST CONNECTIONS LTD",2535
372,"US Government",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",4020
373,Maritime,3034,"ARINC INC USA",1313
374,"US Government",3034,"ARINC INC USA",4020
375,"Enterprise SD - BYOD",3034,"ARINC INC USA",2539
376,"US Government",3032,"AST CONNECTIONS LTD",4020
377,"Enterprise SD - Resources",3032,"AST CONNECTIONS LTD",2533
378,"Enterprise SD - AgriTech",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2536
379,"Enterprise SD - Other business",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2541
380,"Enterprise SD - BYOD",99999997,"DP END USER",2539
381,"Enterprise Aviation",1970,"DP INM WORLD",3012
382,"Enterprise SD - NGO",3032,"AST CONNECTIONS LTD",2534
383,"Enterprise SD - Other business",3032,"AST CONNECTIONS LTD",2541
384,"US Government",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",4020
385,"Enterprise SD - NGO",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2534
386,"Global Government",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",4500
387,"Enterprise SD - AgriTech",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2536
388,"Enterprise SD - Integrated Transport",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2537
389,"Enterprise SD - Media",3055,"CHINA TELECOM SATELLITE CO. LTD.",2532
390,"Enterprise SD - Mining / Construction",99999997,"DP END USER",2535
391,Maritime,3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",1313
392,"US Government",9101,"CONNECT ACCREDITATION PROGRAMME",4001
393,"Enterprise SD - Integrated Transport",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2537
394,"Enterprise SD - BYOD",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2539
